"","id","word","n"
"590","131-7026","ration",2
"591","131-7030","house",2
"592","131-7031","house",2
"593","131-7034","house",2
"594","131-7035","house",2
"595","131-7037","female",2
"596","131-7038","female",2
"597","131-7038","victims",2
"598","131-7043","house",2
"599","131-7044","house",2
"600","131-7045","des",2
"601","131-7046","des",2
"602","131-7046","du",2
"603","131-7050","house",2
"604","131-7051","house",2
"605","131-7053","house",2
"606","131-7054","house",2
"607","131-7055","clinton",2
"608","131-7056","clinton",2
"609","131-7074","house",2
"610","131-7075","house",2
"611","131-7079","dv",2
"612","131-7080","dv",2
"613","131-7085","house",2
"614","131-7086","house",2
"615","131-7090","house",2
"616","131-7091","house",2
"617","131-7097","house",2
"618","131-7098","house",2
"619","131-7104","house",2
"620","131-7105","house",2
"621","131-7107","house",2
"622","131-7108","house",2
"623","131-7113","topics",2
"624","131-7123","house",2
"625","131-7124","house",2
"626","131-7127","house",2
"627","131-7128","house",2
"628","131-7132","house",2
"629","131-7133","house",2
"630","131-7175","house",2
"631","131-7176","house",2
"632","131-7178","house",2
"633","131-7179","house",2
"634","131-7180","house",2
"635","131-7181","house",2
"636","131-7194","house",2
"637","131-7195","house",2
"638","131-7203","house",2
"639","131-7204","house",2
"640","131-7209","house",2
"641","131-7210","house",2
"642","131-7230","house",2
"643","131-7231","house",2
"644","131-7232","calling",2
"645","131-7248","house",2
"646","131-7249","house",2
"647","131-7263","teach",2
"648","131-7264","teach",2
"649","131-7265","mejor",2
"650","131-7291","house",2
"651","131-7292","house",2
"652","131-7294","clinton",2
"653","131-7296","clinton",2
"654","131-7303","house",2
"655","131-7304","house",2
"656","131-7312","music",2
"657","131-7313","music",2
"658","131-7314","music",2
"659","131-7326","house",2
"660","131-7327","house",2
"661","131-7336","women",2
"662","131-7348","company",2
"663","131-7362","house",2
"664","131-7363","house",2
"665","131-7381","house",2
"666","131-7382","house",2
"667","131-7388","clinton",2
"668","131-7398","house",2
"669","131-7399","house",2
"670","131-7418","house",2
"671","131-7419","house",2
"672","131-7423","house",2
"673","131-7424","house",2
"674","131-7434","house",2
"675","131-7435","house",2
"676","131-7436","house",2
"677","131-7437","house",2
"678","131-7462","house",2
"679","131-7463","house",2
"680","131-7470","house",2
"681","131-7471","house",2
"682","131-7473","dems",2
"683","131-7474","dems",2
"684","131-7546","house",2
"685","131-7547","house",2
"686","131-7559","progressive",2
"687","131-7560","progressive",2
"688","131-7561","athletics",2
"689","131-7561","women's",2
"690","131-7612","house",2
"691","131-7613","house",2
"692","131-7614","house",2
"693","131-7615","house",2
"694","131-7626","ll",2
"695","131-7626","read",2
"696","131-7627","ll",2
