"","topic","term","beta"
"506",2,"ring",5.01207858817528e-318
"507",3,"ring",0.000678424354012896
"508",4,"ring",1.10309641494458e-317
"509",5,"ring",5.06380004793643e-315
"510",6,"ring",2.81518605000342e-320
"511",1,"single",1.48705071501792e-305
"512",2,"single",5.17700977083172e-305
"513",3,"single",0.000678424354012896
"514",4,"single",2.25659897832334e-41
"515",5,"single",2.84290373755967e-281
"516",6,"single",2.62056504888188e-290
"517",1,"harassment",1.43376564680388e-36
"518",2,"harassment",2.20395861502067e-12
"519",3,"harassment",5.17712395855916e-20
"520",4,"harassment",9.80939590664682e-95
"521",5,"harassment",1.04173080597493e-53
"522",6,"harassment",0.0586194286834166
"523",1,"blocked",2.86216627529776e-278
"524",2,"blocked",1.62788777740641e-278
"525",3,"blocked",3.97890195008021e-277
"526",4,"blocked",5.4524963038423e-280
"527",5,"blocked",0.00272649029957834
"528",6,"blocked",5.52634320046694e-280
"529",1,"3_",0.00510862081806084
"530",2,"3_",1.03560067926586e-20
"531",3,"3_",7.68206776552184e-275
"532",4,"3_",9.5016922081453e-280
"533",5,"3_",1.81185317750596e-274
"534",6,"3_",9.7360747803125e-277
"535",1,"oakland",0.000681149442408111
"536",2,"oakland",4.53270390573133e-295
"537",3,"oakland",1.11726470212651e-298
"538",4,"oakland",2.38759129294648e-302
"539",5,"oakland",3.42625419694154e-298
"540",6,"oakland",5.00112496130333e-301
"541",1,"pennsylvania",8.85348482591657e-293
"542",2,"pennsylvania",6.07573395945335e-291
"543",3,"pennsylvania",0.0115332140182192
"544",4,"pennsylvania",2.55510969577697e-295
"545",5,"pennsylvania",1.61188591212074e-291
"546",6,"pennsylvania",3.00500149630468e-294
"547",1,"son",1.18038130734651e-289
"548",2,"son",3.29467184920706e-277
"549",3,"son",0.00135684870802595
"550",4,"son",2.59451590466024e-53
"551",5,"son",0.00034081128744713
"552",6,"son",1.68095938550749e-291
"553",1,"support",1.23217401446397e-273
"554",2,"support",3.78026647044061e-10
"555",3,"support",0.00405286642529029
"556",4,"support",0.000842403666866272
"557",5,"support",0.00105304736459461
"558",6,"support",3.00576074298976e-40
"559",1,"told",0.00238402304842871
"560",2,"told",0.000632135054018418
"561",3,"told",1.4455545220681e-243
"562",4,"told",5.2769134292933e-288
"563",5,"told",0.000681622574894451
"564",6,"told",7.85480788154371e-60
"565",1,"movement",1.40734496256263e-13
"566",2,"movement",4.84839302986382e-22
"567",3,"movement",0.0118651707949604
"568",4,"movement",0.0892999921980808
"569",5,"movement",3.77758600709782e-11
"570",6,"movement",3.8493300480024e-36
"571",1,"screwed",8.26824743147908e-307
"572",2,"screwed",4.64370011510158e-309
"573",3,"screwed",0.00135684870802579
"574",4,"screwed",7.41827008206913e-312
"575",5,"screwed",2.7650577650527e-308
"576",6,"screwed",5.38783176725144e-311
"577",1,"hijab",2.34862434356414e-307
"578",2,"hijab",0.00189640516205578
"579",3,"hijab",1.37060412905076e-307
"580",4,"hijab",7.93810889029251e-312
"581",5,"hijab",1.00031008610023e-307
"582",6,"hijab",6.82051026152829e-309
"583",1,"weinstein",2.43492306193878e-292
"584",2,"weinstein",6.57174765011798e-293
"585",3,"weinstein",0.00203527306203875
"586",4,"weinstein",0.000284375508692621
"587",5,"weinstein",2.06641313449092e-291
"588",6,"weinstein",2.89717069228031e-287
"589",1,"partly",1.16933328640818e-299
"590",2,"partly",2.1737028599925e-252
"591",3,"partly",6.0151854192289e-300
"592",4,"partly",0.00113750203477069
"593",5,"partly",3.55547133979833e-301
"594",6,"partly",5.18005538402022e-303
"595",1,"change",2.63489926536798e-268
"596",2,"change",1.54015131641365e-22
"597",3,"change",6.71853283939882e-276
"598",4,"change",0.00156000424352006
"599",5,"change",0.00460581937188804
"600",6,"change",1.44509476054566e-36
"601",1,"schools",3.44991489082662e-290
"602",2,"schools",7.64407705345165e-291
"603",3,"schools",1.57765370054516e-288
"604",4,"schools",1.81816900087327e-15
"605",5,"schools",0.0010224338623397
"606",6,"schools",5.93690051589908e-292
"607",1,"trauma",0.00238402304842844
"608",2,"trauma",7.3876701781375e-291
"609",3,"trauma",1.31206062808547e-78
"610",4,"trauma",1.95618654412448e-296
"611",5,"trauma",0.00136324514978911
"612",6,"trauma",8.78467129611649e-54
"613",1,"female",0.00613034498167426
"614",2,"female",0.000863126535974378
"615",3,"female",0.00101763653101919
"616",4,"female",7.56455507441107e-43
"617",5,"female",0.00111417019704105
"618",6,"female",5.77388536696506e-46
"619",1,"berast",0
"620",2,"berast",0
"621",3,"berast",1.7829593994296e-318
"622",4,"berast",3.72007597602084e-44
"623",5,"berast",0.000681622574894584
"624",6,"berast",0
"625",1,"lgbt",2.53200859150033e-289
"626",2,"lgbt",0.0306585501199018
"627",3,"lgbt",1.59339121871443e-289
"628",4,"lgbt",5.56081576116055e-98
"629",5,"lgbt",1.87149732624485e-289
"630",6,"lgbt",6.13508169006396e-280
"631",1,"enovaaw",3.76136622769754e-318
"632",2,"enovaaw",1.9086744030139e-319
"633",3,"enovaaw",4.77086536449702e-317
"634",4,"enovaaw",3.01874109609002e-321
"635",5,"enovaaw",0.00374892416192021
"636",6,"enovaaw",1.1006596831793e-318
"637",1,"dont",0.0068114944240821
"638",2,"dont",2.816235650379e-287
"639",3,"dont",0.000342381546788567
"640",4,"dont",0.00284109807398497
"641",5,"dont",2.74124548378435e-287
"642",6,"dont",2.41035189197669e-79
"643",1,"og",0.00340574721204056
"644",2,"og",8.39981063559924e-317
"645",3,"og",3.56771635789846e-315
"646",4,"og",2.81588268256406e-318
"647",5,"og",1.63235459072859e-313
"648",6,"og",4.34627819416784e-317
"649",1,"til",0.00136229888481622
"650",2,"til",0
"651",3,"til",2.96439387504748e-323
"652",4,"til",0
"653",5,"til",4.15015142506647e-322
"654",6,"til",0
"655",1,"vi",0.00238402304842844
"656",2,"vi",9.97007428083071e-311
"657",3,"vi",0.000339212177006401
