"","topic","term","beta"
"436",6,"cair",1.51827872827636e-153
"437",7,"cair",4.67119305517065e-319
"438",8,"cair",2.66556367175472e-161
"439",9,"cair",3.93080963539548e-92
"440",10,"cair",3.31632406160169e-292
"441",1,"hamas",4.15964648087484e-65
"442",2,"hamas",9.07823791757776e-92
"443",3,"hamas",3.44656589599878e-65
"444",4,"hamas",0.00418092532685172
"445",5,"hamas",3.44021060146141e-92
"446",6,"hamas",4.10545059652774e-166
"447",7,"hamas",2.050273617112e-319
"448",8,"hamas",2.46079350379101e-148
"449",9,"hamas",3.58150233571021e-104
"450",10,"hamas",2.33760032889631e-287
"451",1,"gt",2.84691283565121e-74
"452",2,"gt",1.55483769970176e-98
"453",3,"gt",2.63642477267905e-32
"454",4,"gt",8.14701630618842e-52
"455",5,"gt",8.21382644859991e-114
"456",6,"gt",2.19053222802468e-101
"457",7,"gt",1.32245619798863e-65
"458",8,"gt",6.98719633657076e-69
"459",9,"gt",6.54569494577535e-37
"460",10,"gt",0.0508598948775539
"461",1,"lt",5.02129995260279e-68
"462",2,"lt",2.73529034013268e-91
"463",3,"lt",2.05998577745057e-66
"464",4,"lt",2.65963282978702e-58
"465",5,"lt",1.03967071157108e-58
"466",6,"lt",9.89760795112699e-89
"467",7,"lt",9.33743390062526e-56
"468",8,"lt",5.07469145631178e-77
"469",9,"lt",7.76860126332096e-56
"470",10,"lt",0.0309713986717045
"471",1,"movimento",1.33435770320956e-67
"472",2,"movimento",0.00456406712555412
"473",3,"movimento",1.52540223415617e-235
"474",4,"movimento",1.75371416476426e-53
"475",5,"movimento",1.3095105537908e-67
"476",6,"movimento",1.36367683793664e-67
"477",7,"movimento",0.00062054130282915
"478",8,"movimento",3.74869365850372e-296
"479",9,"movimento",0.000259174410662682
"480",10,"movimento",3.10349502715431e-98
"481",1,"love",0.00342029376069977
"482",2,"love",0.0101118233917984
"483",3,"love",1.03333116623589e-26
"484",4,"love",2.44520722658118e-09
"485",5,"love",0.00774069589458755
"486",6,"love",0.000233152599141271
"487",7,"love",1.30974797200935e-28
"488",8,"love",2.02048208400974e-53
"489",9,"love",6.05435250120023e-150
"490",10,"love",0.0035505440354385
"491",1,"rights",3.22479223353479e-51
"492",2,"rights",5.46274592794297e-30
"493",3,"rights",0.00284886698651645
"494",4,"rights",1.44026924889993e-17
"495",5,"rights",0.00118402261280984
"496",6,"rights",0.00223060941791933
"497",7,"rights",7.07833613888425e-22
"498",8,"rights",1.19774534616579e-15
"499",9,"rights",2.9013438261419e-17
"500",10,"rights",0.00136407473881812
"501",1,"ceo",1.95750907013685e-05
"502",2,"ceo",1.51310770260953e-299
"503",3,"ceo",1.26889517882445e-79
"504",4,"ceo",0.00398260539156865
"505",5,"ceo",0
"506",6,"ceo",3.69475390550175e-41
"507",7,"ceo",1.36963330610593e-38
"508",8,"ceo",1.16472589153701e-24
"509",9,"ceo",7.05428966448592e-122
"510",10,"ceo",3.72007597602084e-44
"511",1,"health",1.13581096943443e-21
"512",2,"health",4.14782253644839e-93
"513",3,"health",1.33318258895576e-10
"514",4,"health",6.10276886736713e-49
"515",5,"health",0.00345256293222544
"516",6,"health",5.81897665998771e-111
"517",7,"health",1.47458246457755e-23
"518",8,"health",0.000794102962309754
"519",9,"health",1.1749608572115e-55
"520",10,"health",1.4874311798191e-55
"521",1,"witch",2.58009411713153e-91
"522",2,"witch",8.12528527827229e-256
"523",3,"witch",3.23539965241292e-136
"524",4,"witch",1.43058864504835e-47
"525",5,"witch",4.15864021230388e-82
"526",6,"witch",6.84016546776292e-72
"527",7,"witch",3.31125238517362e-259
"528",8,"witch",0.00576833863073806
"529",9,"witch",1.41501735950088e-55
"530",10,"witch",8.51544290729177e-65
"531",1,"brilliant",2.72025301574542e-309
"532",2,"brilliant",0.000893686351856052
"533",3,"brilliant",5.99822026810431e-56
"534",4,"brilliant",0.000348410443903408
"535",5,"brilliant",4.65624940413961e-38
"536",6,"brilliant",3.72007597602084e-44
"537",7,"brilliant",3.72007597602084e-44
"538",8,"brilliant",0.000782897175455662
"539",9,"brilliant",0.000684510882137194
"540",10,"brilliant",1.39815346481422e-276
"541",1,"parole",5.75221066571659e-80
"542",2,"parole",1.15641249346036e-79
"543",3,"parole",9.0500779860731e-92
"544",4,"parole",1.49422707020167e-89
"545",5,"parole",5.58434481536464e-80
"546",6,"parole",5.93077812341922e-80
"547",7,"parole",6.07652194264779e-80
"548",8,"parole",6.55992791511233e-80
"549",9,"parole",0.000347984174524018
"550",10,"parole",0.000925929591513208
"551",1,"noko",4.89955381622604e-117
"552",2,"noko",1.96405212454535e-116
"553",3,"noko",6.30588930926056e-129
"554",4,"noko",0.00069682088780862
"555",5,"noko",1.08246321994757e-128
"556",6,"noko",5.18396451335998e-117
"557",7,"noko",5.43665869280019e-117
"558",8,"noko",1.57689748622001e-128
"559",9,"noko",3.631058905821e-129
"560",10,"noko",7.46444487190701e-117
"561",1,"post",2.42820224350864e-08
"562",2,"post",0.00106011673829156
"563",3,"post",0.00315052433396754
"564",4,"post",1.02000991921487e-11
"565",5,"post",2.3284108312245e-19
"566",6,"post",2.61435886350129e-29
"567",7,"post",0.00163790853007076
"568",8,"post",0.000355776391097625
"569",9,"post",3.72007597602084e-44
"570",10,"post",4.48978002963677e-34
"571",1,"boa",0.000291783557729874
"572",2,"boa",2.25153101485115e-67
"573",3,"boa",2.14681995308931e-44
"574",4,"boa",1.73203907452505e-68
"575",5,"boa",0.00097231561017022
"576",6,"boa",4.00616455659125e-191
"577",7,"boa",1.46543864011205e-67
"578",8,"boa",3.31342796487553e-269
"579",9,"boa",1.01478988944799e-67
"580",10,"boa",1.34996648580335e-41
"581",1,"blm",5.03466631933189e-05
"582",2,"blm",0.000620885705848137
"583",3,"blm",0.000184327517854488
"584",4,"blm",5.881811249927e-15
"585",5,"blm",2.10551472926197e-40
"586",6,"blm",1.83377204174574e-06
"587",7,"blm",0.000712263575210176
"588",8,"blm",0.00115295225503033
"589",9,"blm",3.72007597602084e-44
"590",10,"blm",0
"591",1,"sexual",2.81989637356398e-11
"592",2,"sexual",1.4814916073665e-16
"593",3,"sexual",1.39879395927451e-21
"594",4,"sexual",9.70854219847146e-56
"595",5,"sexual",5.34030290220551e-29
"596",6,"sexual",0.104810827766551
"597",7,"sexual",7.08826922812495e-35
"598",8,"sexual",1.03953876085045e-46
"599",9,"sexual",0.0113152369952373
"600",10,"sexual",1.22376606660643e-29
"601",1,"america",2.4848478191258e-40
"602",2,"america",3.25747400446635e-35
"603",3,"america",0.000371126254972987
"604",4,"america",9.49891025153314e-42
"605",5,"america",0.00226777035249108
"606",6,"america",0.00231183781276609
"607",7,"america",1.9972350776069e-11
"608",8,"america",3.44897398550582e-09
"609",9,"america",3.72007597602084e-44
"610",10,"america",0.000880266287203304
"611",1,"7",0.000228481837986701
"612",2,"7",1.00668261037194e-91
"613",3,"7",7.58788034054272e-84
"614",4,"7",0.00103008088491715
"615",5,"7",1.27399828640773e-54
"616",6,"7",3.40556322898902e-69
"617",7,"7",1.68425404025363e-89
"618",8,"7",1.3077281482648e-55
"619",9,"7",1.06052105798285e-55
"620",10,"7",0.00158974956403459
"621",1,"hollywood",0.00104587841243895
"622",2,"hollywood",8.24298127776241e-11
"623",3,"hollywood",0.00717854521811033
"624",4,"hollywood",1.32409312478328e-13
"625",5,"hollywood",0.00204486163435008
"626",6,"hollywood",0.00123742541908446
"627",7,"hollywood",2.89183600117855e-06
"628",8,"hollywood",0.000883260782164487
"629",9,"hollywood",3.22650407703861e-38
"630",10,"hollywood",2.32575193531214e-08
"631",1,"iartg",1.23194062283692e-139
"632",2,"iartg",0.00750696535559061
"633",3,"iartg",2.36085594503677e-152
"634",4,"iartg",1.17378819530129e-156
"635",5,"iartg",2.62200039435889e-104
"636",6,"iartg",1.56178600091251e-92
"637",7,"iartg",3.02143426129061e-104
"638",8,"iartg",1.75341982290516e-249
"639",9,"iartg",1.20158100302304e-104
"640",10,"iartg",1.57580618890591e-130
"641",1,"di",2.93775660198493e-79
"642",2,"di",1.31217493798296e-61
"643",3,"di",0.000518553141122182
"644",4,"di",9.04211782223513e-25
"645",5,"di",2.85202451837277e-79
"646",6,"di",3.02895418172983e-79
"647",7,"di",0.000865028545410323
"648",8,"di",3.35027220917254e-79
"649",9,"di",8.87048690449593e-32
"650",10,"di",3.6231705896759e-79
"651",1,"democrats",2.31842909540824e-67
"652",2,"democrats",3.6978562874099e-67
"653",3,"democrats",5.75212370441864e-40
"654",4,"democrats",0.00313569399513849
"655",5,"democrats",2.38521586593003e-16
"656",6,"democrats",1.33732929984545e-41
"657",7,"democrats",6.00980224707272e-34
"658",8,"democrats",2.36320347496897e-70
"659",9,"democrats",1.6666728326309e-67
"660",10,"democrats",2.66902185096164e-67
"661",1,"reality",7.80588740489193e-56
"662",2,"reality",1.55796053058044e-16
"663",3,"reality",9.3443268447521e-41
"664",4,"reality",0.00104523133171439
"665",5,"reality",1.04919448915823e-79
"666",6,"reality",5.60357337086311e-30
"667",7,"reality",2.30214532970623e-262
"668",8,"reality",0.000591624474946128
"669",9,"reality",1.6222820612266e-67
"670",10,"reality",8.94398447651322e-274
"671",1,"trump",1.47687415223513e-12
"672",2,"trump",1.34961718095123e-68
"673",3,"trump",0.00284178393092351
"674",4,"trump",0.00814812900611222
"675",5,"trump",5.73344027777908e-07
"676",6,"trump",0.010425141364814
"677",7,"trump",0.00164737336866095
"678",8,"trump",1.24700778244531e-24
"679",9,"trump",1.45742481882249e-34
"680",10,"trump",2.59924412357375e-30
"681",1,"deleteuber",2.46557366062243e-67
"682",2,"deleteuber",1.03172589907249e-55
"683",3,"deleteuber",0.00388914855841498
"684",4,"deleteuber",1.00556553735954e-55
"685",5,"deleteuber",2.41966207742151e-67
"686",6,"deleteuber",2.51974839203985e-67
"687",7,"deleteuber",2.55956766799256e-67
"688",8,"deleteuber",2.6943299125523e-67
"689",9,"deleteuber",1.77245454731632e-67
"690",10,"deleteuber",2.83842144977536e-67
"691",1,"silence",2.26189973414049e-11
"692",2,"silence",1.63480294175358e-64
"693",3,"silence",0.008556126807777
"694",4,"silence",3.72007597602084e-44
"695",5,"silence",2.76986384987066e-59
"696",6,"silence",3.55216360381275e-22
"697",7,"silence",3.73131700809919e-95
"698",8,"silence",3.05158504578616e-52
"699",9,"silence",3.93795535333594e-115
"700",10,"silence",6.43358930056571e-33
"701",1,"laughed",1.92643051206413e-80
"702",2,"laughed",1.2144714293592e-79
"703",3,"laughed",0.000388914855841498
"704",4,"laughed",5.16292979261083e-71
"705",5,"laughed",3.64341129813794e-68
"706",6,"laughed",5.5246893462386e-66
"707",7,"laughed",4.69755419581699e-52
"708",8,"laughed",6.8892761723067e-80
