id,tokens,tweet
79,"['Lol', 'Remember', ""y'all"", 'like', 'cameras', 'stop', 'cops', 'killing', 'many', 'Black', 'folks', '. .', '#AltonSterling', '#NoChargesFiled']","Lol. Remember when y'all were like, cameras will stop cops killing so many Black folks. . #AltonSterling #NoChargesFiled"
80,"['#StephonClark', 'cell', 'phone', '#TamirRice', 'toy', 'gun', '#WalterScott', 'running', 'away', '#SandraBland', 'broken', 'tail', 'light']",#StephonClark had a cell phone. #TamirRice had a toy gun #WalterScott was running away #SandraBland had a broken tail light #
81,"['A', 'loaded', 'revolver', 'resisted', 'arrest', 'continued', 'struggle', 'tasing', 'failed', 'But', 'go', 'poor', 'choir', 'boy']","A loaded revolver, resisted arrest and continued to struggle after tasing failed. But here we go with the poor choir boy"
82,"['Once', 'Im', 'taking', 'knee', 'protest', 'cold-blooded', 'murders', 'Stephon', 'Clark', 'Philando', 'Castile', 'Eric', 'Garner', 'Michael', 'Bro']","Once again Im taking a knee to protest the cold-blooded murders of Stephon Clark, Philando Castile, Eric Garner, Michael Bro"
83,"['No', 'lies', 'detected', 'smh', 'Colin', 'Kaepernick', 'calls', '#AltonSterling', 'ruling', ""'"", 'state', 'sanctioned', 'lynching', ""'"", 'http']","No lies detected, smh . Colin Kaepernick calls #AltonSterling ruling 'state sanctioned lynching' http"
84,"['1950', '+', 'people', 'killed', 'police', 'since', 'death', '#AltonSterling', 'Now', 'understand', 'takes', 'kn']",1950+people have been killed by police since the death of #AltonSterling. Now do you understand why takes a kn
85,"['DOJ', 'show', 'intent', 'able', 'charge', 'Officer', 'Salamoni', 'killing', '#AltonSterling', 'They', 'decided', 'Salamoni', 'saying', 'g']",DOJ had to show intent to be able to charge Officer Salamoni for killing #AltonSterling. They decided Salamoni saying he was g
86,"['One', 'thing', ""I'll"", 'never', 'understand', 'America', 'rally', 'protest', 'every', 'city', 'stop', 'innocent', 'people', 'gunned', 'dow']",One thing I'll never understand is how America can rally protest in every city to stop innocent people from being gunned dow
87,"['I', 'die', 'little', 'bit', 'time', 'announced', 'officer', 'wont', 'charged', 'death', 'Black', 'person', '#AltonSterling']",I die a little bit each time its announced an officer wont be charged for the death of a Black person. #AltonSterling
88,"['Now', ""ya'll"", 'understand', 'takes', 'knee', '#AltonSterling']",Now do ya'll understand why takes a knee? #AltonSterling
