"","topic","term","beta"
"667",1,"id",4.0533171888344e-05
"668",2,"id",4.6718469170259e-05
"669",3,"id",5.48581338514763e-05
"670",4,"id",6.79079676239012e-05
"671",5,"id",0.000102101357658874
"672",6,"id",5.73929927914829e-06
"673",1,"student",0.000963695068957748
"674",2,"student",0.0011884938570962
"675",3,"student",0.00171351333373346
"676",4,"student",0.00309890306749919
"677",5,"student",0.00051681072683258
"678",6,"student",0.000119694876544363
"679",1,"hs",0.00034696139433377
"680",2,"hs",0.000195563436465463
"681",3,"hs",0.00082718147433249
"682",4,"hs",0.000123640835995008
"683",5,"hs",0.000376278037144186
"684",6,"hs",0.000332524533796932
"685",1,"blab",8.75949578588863e-06
"686",2,"blab",2.40408419862061e-05
"687",3,"blab",3.34581053728965e-05
"688",4,"blab",4.67909921208196e-05
"689",5,"blab",1.30397433243251e-05
"690",6,"blab",1.28146489089985e-05
"691",1,"ready",0.000258194881762411
"692",2,"ready",0.000365258756124076
"693",3,"ready",5.33656109429963e-05
"694",4,"ready",0.000143026463133906
"695",5,"ready",2.55317533679069e-05
"696",6,"ready",4.9411564795941e-05
"697",1,"studentsstandup",0.00627981399051306
"698",2,"studentsstandup",0.00113203955038937
"699",3,"studentsstandup",0.00328661234687821
"700",4,"studentsstandup",0.00727677222613631
"701",5,"studentsstandup",0.0131122056542675
"702",6,"studentsstandup",0.00729228306204595
"703",1,"15",0.00150745596992266
"704",2,"15",5.66405611996857e-05
"705",3,"15",0.00113130942356759
"706",4,"15",0.000390622864987009
"707",5,"15",0.000296590267977738
"708",6,"15",0.000308281606982408
"709",1,"ar",0.000400611736029533
"710",2,"ar",0.000449600191126483
"711",3,"ar",0.00091538705071428
"712",4,"ar",0.000438125022043196
"713",5,"ar",0.00058284450821277
"714",6,"ar",0.00060683618956239
"715",1,"flight",0.000129309623336134
"716",2,"flight",4.31011142211687e-05
"717",3,"flight",9.73610208339609e-05
"718",4,"flight",3.93765831790981e-05
"719",5,"flight",0.000101695966493164
"720",6,"flight",6.30397148363828e-06
"721",1,"happen",0.00012951969724773
"722",2,"happen",0.000525468422383123
"723",3,"happen",1.91353051862794e-05
"724",4,"happen",0.000537105846742219
"725",5,"happen",0.00045245792459385
"726",6,"happen",0.000877504478926606
"727",1,"buy",0.000126530534712386
