"id","tweet","date","screenName","retweetCount","isRetweet","retweeted","favoriteCount"
119,"No charges filed against two officers in #AltonSterling case, Louisiana AG Jeff Landry says https://t.co/tSH0AeVzbA via @theadvocatebr",2018-03-27 15:29:26,"brownjen",0,FALSE,FALSE,1
120,"RT @ChrisNakamoto: State will not pursue charges against @brpd officers in death of #AltonSterling according to the family. AG briefing med…",2018-03-27 15:29:24,"LukePourciau",13,TRUE,FALSE,0
121,"RT @gabegutierrez: #breaking: Louisiana attorney general announces NO state charges against officers in #AltonSterling shooting death; they…",2018-03-27 15:29:22,"Annie_Rose23",21,TRUE,FALSE,0
122,"RT @katiecmoore: La AG Jeff Landry: no state prosecution of BR Police officers in shooting death of #AltonSterling",2018-03-27 15:29:21,"chooky_504",6,TRUE,FALSE,0
123,"Seriously, Louisiana?
#AltonSterling",2018-03-27 15:29:21,"erikaraskin",1,FALSE,FALSE,0
124,"NEWS: Louisiana's Attorney General declines to file charges in Alton Sterling death, says police actions were ""well… https://t.co/N6Nzwnf2J2",2018-03-27 15:29:20,"Deena_CNN",4,FALSE,FALSE,1
125,"BREAKING: No charges in #AltonSterling death at the hands of police officers whose actions have been described by p… https://t.co/MnBLYwcARs",2018-03-27 15:29:19,"thelauracoates",65,FALSE,FALSE,82
126,"#BREAKING No charges in the death of #AltonSterling https://t.co/z78TxA2h0Q",2018-03-27 15:29:18,"CStewartTheNow",0,FALSE,FALSE,0
127,"#AltonSterling was murdered on video tape and the cops that did it will unsurprisingly walk free. #SayHisName… https://t.co/Nurf0WrbLr",2018-03-27 15:29:18,"OtherGuysWill",1,FALSE,FALSE,0
128,"No criminal charges will be made against the officers who killed #AltonSterling",2018-03-27 15:29:17,"Theeciarahart",0,FALSE,FALSE,0
129,"RT @deray: I’ve been told that it is likely that the officers who killed #AltonSterling will be immediately dismissed but will not he charg…",2018-03-27 15:29:15,"0hbetave",198,TRUE,FALSE,0
130,"RT @StolenProperty2: MURDERERS OF #ALTONSTERLING WILL NOT BE CHARGED! @SylviaKAlston @karenhunter @MadisonSiriusXM https://t.co/H724JSR0gv",2018-03-27 15:29:12,"bountyofbeads2",4,TRUE,FALSE,0
131,"Why should we be surprised that Louisiana AG declines to file charges for the death of #AltonSterling this have bee… https://t.co/13Yflm7CrY",2018-03-27 15:29:12,"Crich_80",0,FALSE,FALSE,0
132,"#BREAKING: No Charges will be filed in the shooting death of #AltonSterling https://t.co/4EfUm4CuHB",2018-03-27 15:29:10,"ReggieChatman",1,FALSE,FALSE,4
