"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Camila_Cabello: ... there’s no words to describe the outrage we feel today at what’s happening in our country, but we have a long way t…",FALSE,0,NA,2018-03-27 12:31:15,FALSE,NA,"978610397082202112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NeiderTucubal",8321,TRUE,FALSE,NA,NA
"RT @WhitfordBradley: I love you Wisconsin!!!! Retweet if you stand with these kids.  #NeverAgain  https://t.co/1M8Ev0RoC5",FALSE,0,NA,2018-03-27 12:31:10,FALSE,NA,"978610379965255681",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","BetsynNashville",236,TRUE,FALSE,NA,NA
"RT @Fawkes_2017_: ������Mark Your Calendars! Remember the Date! Make Your Voice Heard! Get Registered! The Time is Now! #RegisterToVote #NoMore…",FALSE,0,NA,2018-03-27 12:31:10,FALSE,NA,"978610377083817986",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DrggdRpdStrngld",14,TRUE,FALSE,NA,NA
"RT @sngitau: The NRA needs to be investigated extensively. Retweet if you agree.

We are still investigating the NRA. Help support our prob…",FALSE,0,NA,2018-03-27 12:31:05,FALSE,NA,"978610357911638016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MarkProteau",311,TRUE,FALSE,NA,NA
"NRA Hustler Rick Santorum gets PWNed by Student #NeverAgain Activist David Hogg https://t.co/BakYmqNwQI",FALSE,0,NA,2018-03-27 12:31:04,FALSE,NA,"978610354174402560",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tederoo",0,FALSE,FALSE,NA,NA
"RT @joncoopertweets: Thousands register to vote at March for Our Lives demonstrations

“People are really understanding the power of the vo…",FALSE,0,NA,2018-03-27 12:31:04,FALSE,NA,"978610354111606785",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","CynicalVision50",232,TRUE,FALSE,NA,NA
"RT @RepSwalwell: Nothing outrages me more than hearing the NRA attacking high schoolers. Then it occurred to me: the NRA is attacking these…",FALSE,0,NA,2018-03-27 12:31:03,FALSE,NA,"978610347123896321",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Living4Earth",4840,TRUE,FALSE,NA,NA
"RT @Goss30Goss: Guess the NRA &amp; idiots like Rick Santorum/Steve King feel powerful putting down teenagers who have survived a mass shooting…",FALSE,0,NA,2018-03-27 12:31:02,FALSE,NA,"978610343688642560",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ALBrusey",978,TRUE,FALSE,NA,NA
"RT @domdyer70: 85 year old Mireille Knoll child survivor of Holocaust repeatedly stabbed, throat cut &amp; burnt in her Paris apartment yesterd…",FALSE,0,NA,2018-03-27 12:31:01,FALSE,NA,"978610341058895872",NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","samadhisoundfan",2,TRUE,FALSE,NA,NA
"RT @ChoppersLounge: ������When banning all Assault Weapons ❄️ don't forget these. Louisville Slugger 308 and the FreeFlight 9mm iron club. Both…",FALSE,0,NA,2018-03-27 12:31:01,FALSE,NA,"978610340752691206",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dmaxter1200",7,TRUE,FALSE,NA,NA
"RT @PatsGirlUSA: @davidhogg111 .@davidhogg111 The suggestion of doing a town hall in every congressional district sounds like a phenomenal…",FALSE,0,NA,2018-03-27 12:30:59,FALSE,NA,"978610333236514816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","coco51953",4,TRUE,FALSE,NA,NA
"RT @drscubs: @ananavarro @CarmenYulinCruz @RickSantorum : ever done CPR on someone with a GSW to his chest? I have. Ever done CPR on someon…",FALSE,0,NA,2018-03-27 12:30:59,FALSE,NA,"978610330157887489",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","tapisseriefille",1748,TRUE,FALSE,NA,NA
"RT @peterdaou: ""Repeal the #SecondAmendment"" is trending. While I get the rationale, I don't support that approach. More importantly, we ne…",FALSE,0,NA,2018-03-27 12:30:57,FALSE,NA,"978610323740643328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","valentine_fa",39,TRUE,FALSE,NA,NA
"RT @NWPinPDX: A #MarchForOurLives sign with an idea worth giving a try.

#Enough #NeverAgain #NotOneMore #EnoughIsEnough #GunControlNow #Mo…",FALSE,0,NA,2018-03-27 12:30:56,FALSE,NA,"978610319571456004",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","floridanative64",184,TRUE,FALSE,NA,NA
